;missing in:;chi2:;p_value;category;p_adj;type
4596;oncotree_code;252.19159564423092;4.775717234839357e-47;chek2_mut;5.2964978285432675e-45;clinic-gene
4450;tumor_other_histologic_subtype;252.19159564423092;4.775717234839357e-47;chek2_mut;5.2964978285432675e-45;clinic-gene
6023;magea8_mut;344.7315872597337;6.21850736808516e-47;rb1_mut;6.684417073970926e-45;gene-gene
5725;ctnna1_mut;344.7315872597337;6.21850736808516e-47;rb1_mut;6.684417073970926e-45;gene-gene
4218;large1_mut;413.41540131671115;1.0553410681214625e-45;ncor2_mut;1.117222430752221e-43;gene-gene
5713;ctnna1_mut;344.77279087500574;1.2065595766801771e-45;lamb3_mut;1.2582435466066266e-43;gene-gene
5681;ctnna1_mut;517.6593753642685;5.043857120231288e-45;cdh1_mut;5.182563191037648e-43;gene-gene
3805;taf4b_mut;315.0941191791781;1.991923668070168e-44;asxl1_mut;2.0170392273632267e-42;gene-gene
6620;ccnd3_mut;315.4034479091422;3.819627404080785e-43;alk_mut;3.8125338103303494e-41;gene-gene
6445;braf_mut;379.4811081733639;3.079810998057431e-42;col12a1_mut;3.0307942878066575e-40;gene-gene
3647;flt3_mut;298.4468295286473;3.7256191281454907e-42;erbb3_mut;3.61540289560452e-40;gene-gene
3342;ptpn22_mut;329.85993422512206;1.2282973317568767e-41;shank2_mut;1.1756319804089449e-39;gene-gene
4980;nf2_mut;315.8776177749411;1.625541307729832e-41;rb1_mut;1.5348185293389642e-39;gene-gene
6124;foxo1_mut;474.0630647747587;1.656711080113754e-41;gata3_mut;1.5433920422339732e-39;gene-gene
6683;ccnd3_mut;210.69637851773984;3.5482783395309436e-41;prkg1_mut;3.2620816787240404e-39;gene-gene
5123;ldlrap1_mut;315.9008818543702;1.0896840797711092e-40;usp9x_mut;9.887821643325636e-39;gene-gene
5271;clrn2_mut;315.90088185437014;7.077264892805068e-40;ptprd_mut;6.339596128978079e-38;gene-gene
6144;foxo1_mut;379.5294240985614;8.039901380466824e-40;notch1_mut;7.084260586497693e-38;gene-gene
6146;foxo1_mut;379.5070384365881;8.111361770714404e-40;ncor2_mut;7.084260586497693e-38;gene-gene
6006;magea8_mut;344.82282865329034;9.897972805423302e-40;myh9_mut;8.537918023641063e-38;gene-gene
6957;tbl1xr1_mut;237.19651769751704;1.1980708137409821e-39;dcaf4l2_mut;1.0208439970253955e-37;gene-gene
5265;clrn2_mut;315.9289652821408;1.7557317863732246e-39;ros1_mut;1.4779877098059903e-37;gene-gene
5020;nf2_mut;235.92213369180098;2.1652217390876646e-39;dcaf4l2_mut;1.8010005108339897e-37;gene-gene
2567;nek1_mut;453.42930702537365;4.497776730573766e-39;dnah5_mut;3.6971724725316354e-37;gene-gene
2481;npnt_mut;252.67142713136153;5.1763858872769e-39;pbrm1_mut;4.205512580744617e-37;gene-gene
4837;ppp2r2a_mut;291.4356758643907;1.2251737757690352e-38;apc_mut;9.8394128405727e-37;gene-gene
6441;braf_mut;379.5294240985614;1.7038361680797156e-38;lama2_mut;1.3528071939060196e-36;gene-gene
3602;flt3_mut;498.3925584666057;1.8874849039493016e-38;ahnak_mut;1.4817816880779517e-36;gene-gene
6828;nr3c1_mut;210.7077614210461;1.9969517510982016e-38;chek2_mut;1.5503002094359038e-36;gene-gene
5701;ctnna1_mut;344.8607890566353;2.6992439862035516e-38;col22a1_mut;2.0724854650114524e-36;gene-gene
3603;flt3_mut;498.38591818844156;3.4411579213645417e-38;dnah11_mut;2.613409825714571e-36;gene-gene
3066;stk11_mut;269.7005484664433;5.027532855653792e-38;foxo3_mut;3.777136780908929e-36;gene-gene
4219;large1_mut;355.02124225566985;5.63412260634218e-38;col12a1_mut;4.187831345799236e-36;gene-gene
6123;foxo1_mut;568.2842074948337;3.047261688081497e-37;syne1_mut;2.2411807804868862e-35;gene-gene
6139;foxo1_mut;379.55572911478146;3.2538459533578775e-37;utrn_mut;2.36818975792828e-35;gene-gene
4077;prkacg_mut;333.98418867199626;9.580052538148817e-37;stab2_mut;6.900600730313998e-35;gene-gene
6385;nt5e_mut;189.53392092234049;1.0206360206722968e-36;prkg1_mut;7.27671824126259e-35;gene-gene
2565;nek1_mut;453.49166096727356;1.364767571497548e-36;ush2a_mut;9.631950527326635e-35;gene-gene
5706;ctnna1_mut;344.84387161940424;1.4648200635958577e-36;ncor1_mut;1.0234697784344258e-34;gene-gene
4825;ppp2r2a_mut;291.49268690404585;3.3347746368650955e-36;usp9x_mut;2.3069376621560813e-34;gene-gene
6234;foxo1_mut;189.54256480971685;5.131491266882539e-36;cdkn2a_mut;3.5150715178145397e-34;gene-gene
6949;tbl1xr1_mut;237.2064634699812;5.5714635502757815e-36;erbb4_mut;3.77939959473562e-34;gene-gene
3412;ptpn22_mut;188.67602733503588;7.789678253402933e-36;cdkn2a_mut;5.233315572742913e-34;gene-gene
6717;nr3c1_mut;633.4417933339628;9.009601848510998e-36;ahnak2_mut;5.9952464871948894e-34;gene-gene
4824;ppp2r2a_mut;291.492686904046;1.9999792958926418e-35;ptprd_mut;1.3182882396605554e-33;gene-gene
5299;clrn2_mut;235.95839094705482;2.984568203444412e-35;ncoa3_mut;1.948895143688421e-33;gene-gene
6140;foxo1_mut;379.5519587499655;4.674674024497602e-35;tbx3_mut;3.0242543897374765e-33;gene-gene
5263;clrn2_mut;315.96669537754804;5.304921942771935e-35;nf1_mut;3.4005036343254595e-33;gene-gene
6230;foxo1_mut;187.82707872417853;5.536850261012549e-35;gpr32_mut;3.516906615790426e-33;gene-gene
2220;er_status_measured_by_ihc;187.80024186169237;5.608475167354487e-35;acvrl1_mut;3.5303077472347565e-33;clinic-gene
2706;sik1_mut;552.0038854389356;6.059874840152967e-35;syne1_mut;3.780387991798998e-33;gene-gene
5224;clrn2_mut;486.6945637927149;6.31211872457244e-35;pik3ca_mut;3.9029003122643926e-33;gene-gene
6871;tbl1xr1_mut;474.95393811533063;6.392671242618619e-35;ahnak_mut;3.918034558962832e-33;gene-gene
4076;prkacg_mut;333.9908135706823;1.0621834848026457e-34;ncor1_mut;6.453457398535727e-33;gene-gene
3304;ptpn22_mut;473.36818825194626;1.1009106940581557e-34;ahnak_mut;6.631088809814081e-33;gene-gene
4963;nf2_mut;315.9809290714782;1.1811920244009884e-34;myh9_mut;7.053836473922825e-33;gene-gene
4121;prkacg_mut;222.41871722468738;1.4255386351970518e-34;jak1_mut;8.440880037391356e-33;gene-gene
3780;taf4b_mut;315.29827326167657;1.5531012612811947e-34;myh9_mut;9.118923119808158e-33;gene-gene
6284;nt5e_mut;379.61662916193166;1.798040672327274e-34;pde4dip_mut;1.0469091814625553e-32;gene-gene
4402;tumor_other_histologic_subtype;252.35083043157474;2.6943816095465713e-34;ctnna3_mut;1.5305401874716987e-32;clinic-gene
4548;oncotree_code;252.35083043157474;2.6943816095465713e-34;ctnna3_mut;1.5305401874716987e-32;clinic-gene
4694;cancer_type_detailed;252.35083043157474;2.6943816095465713e-34;ctnna3_mut;1.5305401874716987e-32;clinic-gene
6580;ccnd3_mut;421.9556619700041;3.9218288313064556e-34;dnah5_mut;2.1921454435471193e-32;gene-gene
6729;nr3c1_mut;421.95566197000414;3.921828831306568e-34;dnah5_mut;2.1921454435471193e-32;gene-gene
6299;nt5e_mut;189.84307717574725;4.045580349283943e-34;akt1_mut;2.2433706270195958e-32;gene-gene
5399;prr16_mut;344.9248957632241;5.892220001335729e-34;notch1_mut;3.2416489093962785e-32;gene-gene
5486;prr16_mut;172.23452965440416;8.4827984561694e-34;kras_mut;4.630415063535593e-32;gene-gene
6565;ccnd3_mut;478.0914223353121;1.1586973199129793e-33;pik3ca_mut;6.2758280420403e-32;gene-gene
4264;large1_mut;236.45306144633977;1.7404192529050248e-33;lifr_mut;9.354084092344161e-32;gene-gene
6226;foxo1_mut;189.55556494192186;1.8917730698425063e-33;prkcz_mut;9.958548701009194e-32;gene-gene
6228;foxo1_mut;189.55122698136057;1.895644736273369e-33;prkce_mut;9.958548701009194e-32;gene-gene
6526;braf_mut;189.55122698136054;1.8956447362733974e-33;prkce_mut;9.958548701009194e-32;gene-gene
6462;braf_mut;283.68746464628555;2.8736268531768767e-33;shank2_mut;1.4983605091900626e-31;gene-gene
3315;ptpn22_mut;378.3898791350865;4.126184703892687e-33;tg_mut;2.135529816748015e-31;gene-gene
5790;ctnna1_mut;172.21511672321117;4.427431123909699e-33;frmd3_mut;2.26124609295067e-31;gene-gene
6576;ccnd3_mut;422.0159814297229;4.433815868530725e-33;dnah2_mut;2.26124609295067e-31;gene-gene
6523;braf_mut;189.5555649419218;7.404883801733884e-33;clk3_mut;3.722152742641396e-31;gene-gene
6225;foxo1_mut;189.55556494192177;7.404883801733993e-33;clk3_mut;3.722152742641396e-31;gene-gene
5396;prr16_mut;344.93352373834426;1.0297745731982398e-32;col6a3_mut;5.139310673525786e-31;gene-gene
1434;myo3a_mut;227.48371628006538;1.1176254577940679e-32;aff2_mut;5.538190832345498e-31;gene-gene
6420;braf_mut;569.7791242435928;1.2318150339537098e-32;kmt2c_mut;6.061050452277867e-31;gene-gene
4123;prkacg_mut;222.41871722468738;1.2510095426046728e-32;arid5b_mut;6.112450121803391e-31;gene-gene
1808;sbno1_mut;469.50398826632374;2.0635359544387663e-32;pik3ca_mut;1.001244841226643e-30;gene-gene
5821;agtr2_mut;746.8511182510381;3.15714202625379e-32;tp53_mut;1.5213069887886365e-30;gene-gene
3972;hdac9_mut;209.9751085505664;3.946117497147651e-32;jak1_mut;1.8884604762034684e-30;gene-gene
2164;er_status_measured_by_ihc;250.89869021053656;5.996701799839798e-32;asxl2_mut;2.8502690799646715e-30;clinic-gene
3189;sik2_mut;269.8987759543024;6.424507492968394e-32;lamb3_mut;3.032975260362849e-30;gene-gene
6432;braf_mut;379.6552489131157;6.637686324994561e-32;herc2_mut;3.1125848558883888e-30;gene-gene
5823;agtr2_mut;603.6297409918334;7.536112226979611e-32;ahnak2_mut;3.510321075327103e-30;gene-gene
6799;nr3c1_mut;210.76522173475237;8.502949902790572e-32;smarcc2_mut;3.928879755708727e-30;gene-gene
6653;ccnd3_mut;210.75365631841913;8.547155043190589e-32;zfp36l1_mut;3.928879755708727e-30;gene-gene
4091;prkacg_mut;258.5009125819499;9.208072065696014e-32;setd1a_mut;4.2050195766678464e-30;gene-gene
6215;foxo1_mut;189.5860596758301;9.996454066607212e-32;gps2_mut;4.535404192427571e-30;gene-gene
6223;foxo1_mut;189.56860641000023;1.0077646850205163e-31;rpgr_mut;4.5427431317666756e-30;gene-gene
3905;hdac9_mut;420.83603044282694;1.2998789447387328e-31;ush2a_mut;5.821957812108671e-30;gene-gene
5394;prr16_mut;344.95517746613643;1.630593261272013e-31;utrn_mut;7.256659309877422e-30;gene-gene
3155;sik2_mut;450.7367937950343;2.346600519964007e-31;ahnak_mut;1.0377023944929442e-29;gene-gene
4257;large1_mut;236.4799960055559;2.521485041846869e-31;brca1_mut;1.1080261627285581e-29;gene-gene
6793;nr3c1_mut;210.76908509344221;2.5551421737275694e-31;chd1_mut;1.115798647989658e-29;gene-gene
2856;type_of_breast_surgery;516.22439614547;2.6635500372406964e-31;map3k1_mut;1.1559145410062575e-29;clinic-gene
2767;sik1_mut;235.72046247520004;3.4919312835629105e-31;ctnna3_mut;1.5060570295218552e-29;gene-gene
6220;foxo1_mut;189.57732378388818;3.529129245534182e-31;ttyh1_mut;1.5127623336532104e-29;gene-gene
2455;npnt_mut;252.8887395786596;3.9402882849558053e-31;afdn_mut;1.6787069662796472e-29;gene-gene
3684;flt3_mut;198.80140378189859;6.234693512345833e-31;casp8_mut;2.6401093073188084e-29;gene-gene
6651;ccnd3_mut;210.7613624903955;7.559051485429181e-31;erbb4_mut;3.181632092089981e-29;gene-gene
4532;oncotree_code;252.4447315092629;1.1479714805579927e-30;setd1a_mut;4.746080908082068e-29;clinic-gene
4678;cancer_type_detailed;252.4447315092629;1.1479714805579927e-30;setd1a_mut;4.746080908082068e-29;clinic-gene
4386;tumor_other_histologic_subtype;252.4447315092629;1.1479714805579927e-30;setd1a_mut;4.746080908082068e-29;clinic-gene
6916;tbl1xr1_mut;237.28718838046603;1.1871414736705486e-30;erbb3_mut;4.879151456785954e-29;gene-gene
6222;foxo1_mut;189.5729627858694;1.2051727500475989e-30;map3k13_mut;4.924293569931329e-29;gene-gene
5405;prr16_mut;172.5671222827947;1.4242611430906733e-30;akt1_mut;5.785646864403799e-29;gene-gene
6466;braf_mut;251.77225222018183;1.5180442959743384e-30;setd1a_mut;6.130968494781909e-29;gene-gene
5636;dtwd2_mut;172.23452965440416;1.665989744786378e-30;chek2_mut;6.689810544150818e-29;gene-gene
6512;braf_mut;189.5860596758301;3.96473360829644e-30;cdkn1b_mut;1.582948212638127e-28;gene-gene
5342;clrn2_mut;157.7923789654538;4.628635414089679e-30;prkg1_mut;1.837515661263897e-28;gene-gene
5779;ctnna1_mut;172.24426693417715;6.4542682529573e-30;prkcz_mut;2.539269444764116e-28;gene-gene
5483;prr16_mut;172.23939571965298;6.469013327150602e-30;prkce_mut;2.539269444764116e-28;gene-gene
2819;sik1_mut;156.90693014465091;7.087423374742037e-30;prkg1_mut;2.7664707887889728e-28;gene-gene
6925;tbl1xr1_mut;237.26004885631806;7.572357742406615e-30;asxl1_mut;2.939336863677501e-28;gene-gene
4253;large1_mut;236.50704622578857;1.039372363182019e-29;fancd2_mut;4.012207017432468e-28;gene-gene
5395;prr16_mut;344.9508371127121;1.682187649985687e-29;tbx3_mut;6.457936873873623e-28;gene-gene
3679;flt3_mut;198.83454539923582;1.757440498244702e-29;smarcc2_mut;6.709965443298214e-28;gene-gene
4813;ppp2r2a_mut;291.60343040227013;1.7986541942402098e-29;stab2_mut;6.82999829084584e-28;gene-gene
3625;flt3_mut;298.6689222354604;2.1932263920269411e-29;pten_mut;8.283282595184994e-28;gene-gene
5778;ctnna1_mut;172.24426693417715;2.4096604489178538e-29;clk3_mut;9.051772879886584e-28;gene-gene
2204;er_status_measured_by_ihc;187.9188683221285;2.7154253107217296e-29;brip1_mut;1.01458163882421e-27;clinic-gene
5103;ldlrap1_mut;316.0673193592662;3.3940499490566374e-29;ncor2_mut;1.2613950528754641e-27;gene-gene
6505;braf_mut;189.5991983643757;3.978225135017472e-29;smad4_mut;1.465832027356546e-27;gene-gene
6358;nt5e_mut;189.59481414489466;3.9860896693537103e-29;prkcq_mut;1.465832027356546e-27;gene-gene
3504;tumor_size;235.27112012599525;4.285360563738877e-29;asxl2_mut;1.567634254389714e-27;clinic-gene
2405;npnt_mut;655.4389638889693;4.4205193048687e-29;muc16_mut;1.6086546032873752e-27;gene-gene
4849;ppp2r2a_mut;217.6553227840378;4.5395659419678544e-29;arid2_mut;1.6434169552605906e-27;gene-gene
6641;ccnd3_mut;210.7806999214094;4.672473441597508e-29;bap1_mut;1.6828129864145253e-27;gene-gene
3678;flt3_mut;198.8345453992358;5.140110365119488e-29;map3k10_mut;1.8417410831328135e-27;gene-gene
3389;ptpn22_mut;188.78108066924696;5.750485132054137e-29;palld_mut;2.0499305927378703e-27;gene-gene
5986;magea8_mut;345.0252841377969;5.870086046258998e-29;pde4dip_mut;2.0819437160005896e-27;gene-gene
3014;stk11_mut;360.39536934704233;6.528353068980325e-29;herc2_mut;2.303717317826542e-27;gene-gene
3024;stk11_mut;314.2843184600198;6.613542479910351e-29;notch1_mut;2.3220513219665137e-27;gene-gene
3002;stk11_mut;541.1845157269106;7.337178169569864e-29;kmt2c_mut;2.563243193539232e-27;gene-gene
5474;prr16_mut;172.2687005327587;8.560187309602386e-29;fbxw7_mut;2.9608925114946908e-27;gene-gene
6070;magea8_mut;172.26870053275866;8.560187309602512e-29;fbxw7_mut;2.9608925114946908e-27;gene-gene
4245;large1_mut;236.54102278739666;1.4684127642204605e-28;alk_mut;5.0540886618760385e-27;gene-gene
4250;large1_mut;236.52061494184827;1.480877640493244e-28;apc_mut;5.072005918689361e-27;gene-gene
3623;flt3_mut;298.6923008575751;1.841605333132195e-28;col12a1_mut;6.276729981753485e-27;gene-gene
6920;tbl1xr1_mut;237.2735894046955;2.5741352259816445e-28;ubr5_mut;8.730816904822209e-27;gene-gene
5478;prr16_mut;172.25891155526656;2.9814331936731212e-28;rpgr_mut;1.0063417258064782e-26;gene-gene
6784;nr3c1_mut;210.79235201620426;3.302125405956184e-28;brca2_mut;1.1092283755488394e-26;gene-gene
5333;clrn2_mut;157.81935113407982;3.744125330988321e-28;lipi_mut;1.251684386967244e-26;gene-gene
3766;taf4b_mut;315.4868790178723;6.198655448687634e-28;col6a3_mut;2.0623812199990712e-26;gene-gene
6133;foxo1_mut;379.67081886246456;9.949905652875318e-28;dnah5_mut;3.294786293679614e-26;gene-gene
6206;foxo1_mut;189.59919836437572;1.0609022492194697e-27;zfp36l1_mut;3.4800582231438665e-26;gene-gene
6504;braf_mut;189.5991983643757;1.0609022492194697e-27;zfp36l1_mut;3.4800582231438665e-26;gene-gene
5672;ctnna1_mut;707.766754208883;1.0915187538324163e-27;tp53_mut;3.5637577257135945e-26;gene-gene
3964;hdac9_mut;210.02186445579875;1.1935469243340485e-27;arid2_mut;3.8787499350334864e-26;gene-gene
1826;sbno1_mut;351.72129912616754;1.3866708335270566e-27;akap9_mut;4.4854949601173814e-26;gene-gene
5040;nf2_mut;157.8085451595457;1.4678299606309735e-27;chek2_mut;4.7261419054970565e-26;gene-gene
1587;ptprm_mut;202.68007641877796;1.559189088824446e-27;l1cam_mut;4.997272552117617e-26;gene-gene
3443;tumor_size;130.4622976190476;3.1012323954805072e-27;tumor_stage;9.894205820649454e-26;clinic-clinic
6073;magea8_mut;172.26380344884365;3.243130072205024e-27;map3k13_mut;1.0299886279316593e-25;gene-gene
3238;sik2_mut;179.7161703778804;3.368930052946719e-27;prkcq_mut;1.0651001936623855e-25;gene-gene
5099;ldlrap1_mut;316.10138013183894;3.498291240121241e-27;arid1a_mut;1.1010162565192393e-25;gene-gene
4099;prkacg_mut;222.5426631580478;3.564799706910635e-27;pik3r1_mut;1.1169172893356326e-25;gene-gene
3379;ptpn22_mut;188.81639694729023;4.276944563893916e-27;egfr_mut;1.334063020889589e-25;gene-gene
944;myo1a_mut;278.99712456705186;4.729434364976008e-27;col22a1_mut;1.4686470181372163e-25;gene-gene
5332;clrn2_mut;157.81935113407982;5.4438561177358864e-27;prkcz_mut;1.6798273663480796e-25;gene-gene
5036;nf2_mut;157.81394528960107;5.457575671404237e-27;prkce_mut;1.6798273663480796e-25;gene-gene
3329;ptpn22_mut;283.6383987765495;6.714055346686224e-27;atr_mut;2.0575045924252915e-25;gene-gene
2809;sik1_mut;156.96121880745994;8.117031514355077e-27;prkcz_mut;2.4765807506899096e-25;gene-gene
5467;prr16_mut;172.28834093736012;1.0124907681427927e-26;dcaf4l2_mut;3.0492556021610744e-25;gene-gene
5765;ctnna1_mut;172.28834093736012;1.0124907681427927e-26;dcaf4l2_mut;3.0492556021610744e-25;gene-gene
6063;magea8_mut;172.28834093736012;1.0124907681427927e-26;dcaf4l2_mut;3.0492556021610744e-25;gene-gene
5771;ctnna1_mut;172.2687005327587;1.0215046751196727e-26;nrg3_mut;3.0631987832880484e-25;gene-gene
6609;ccnd3_mut;210.8869321832717;1.3249084603928205e-26;erbb2_mut;3.9560407746857416e-25;gene-gene
6780;nr3c1_mut;210.80794642388616;1.3696264316561644e-26;ctnna3_mut;4.072161650204945e-25;gene-gene
5538;dtwd2_mut;345.0697422678405;1.4139030035971257e-26;herc2_mut;4.185991646666575e-25;gene-gene
3032;stk11_mut;270.05739190946224;1.6882528203506705e-26;thada_mut;4.977140276704698e-25;gene-gene
5331;clrn2_mut;157.81935113407977;1.9466212394468953e-26;clk3_mut;5.7147237815191e-25;gene-gene
3620;flt3_mut;298.7945042498121;2.058632347098816e-26;notch1_mut;6.018269543589718e-25;gene-gene
6200;foxo1_mut;189.61678198237954;2.308412431019053e-26;arid5b_mut;6.720365689804218e-25;gene-gene
5620;dtwd2_mut;172.2785103046799;3.122707096429521e-26;men1_mut;9.035711087999866e-25;gene-gene
5919;agtr2_mut;172.27360281527663;3.129586493911503e-26;brip1_mut;9.035711087999866e-25;gene-gene
3378;ptpn22_mut;188.8252495484362;3.2565130274136e-26;arid5b_mut;9.363480050427499e-25;gene-gene
1380;myo3a_mut;333.7362907044729;3.7941042118445363e-26;tg_mut;1.0864510708261383e-24;gene-gene
1856;sbno1_mut;235.16753060753064;3.824325167237396e-26;usp9x_mut;1.0906350997341912e-24;gene-gene
4557;oncotree_code;188.33688761689314;4.026317672641361e-26;ncoa3_mut;1.1343500636590803e-24;clinic-gene
4411;tumor_other_histologic_subtype;188.33688761689314;4.026317672641361e-26;ncoa3_mut;1.1343500636590803e-24;clinic-gene
4703;cancer_type_detailed;188.33688761689314;4.026317672641361e-26;ncoa3_mut;1.1343500636590803e-24;clinic-gene
2584;nek1_mut;150.69453406316413;4.098721694083795e-26;akt1_mut;1.1501111837977298e-24;gene-gene
